log_name,drift_types,change_trace_idx
log_1301_1708942944.xes,sudden,"[(2219, 2219)]"
log_1302_1708942955.xes,sudden,"[(1286, 1286)]"
log_1303_1708942960.xes,,
log_1304_1708942967.xes,sudden,"[(3295, 3295)]"
log_1305_1708942971.xes,sudden,"[(2242, 2242)]"
log_1306_1708942979.xes,sudden,"[(1961, 1961)]"
log_1307_1708942982.xes,sudden,"[(2029, 2029)]"
log_1308_1708942986.xes,sudden,"[(1958, 1958)]"
log_1309_1708942996.xes,sudden,"[(1622, 1622)]"
log_130_1708942804.xes,,
log_1310_1708942999.xes,sudden,"[(1107, 1107)]"
log_1311_1708943002.xes,,
log_1312_1708943003.xes,sudden,"[(1992, 1992)]"
log_1313_1708943007.xes,sudden,"[(1950, 1950)]"
log_1314_1708943010.xes,sudden,"[(1129, 1129)]"
log_1315_1708943013.xes,,
log_1316_1708943021.xes,,
log_1317_1708943029.xes,sudden,"[(1162, 1162)]"
log_1318_1708943032.xes,,
log_1319_1708943037.xes,"sudden, sudden, sudden","[(1980, 1980), (3703, 3703), (5763, 5763)]"
log_131_1708942806.xes,,
log_1320_1708943042.xes,,
log_1321_1708943046.xes,,
log_1322_1708943055.xes,"sudden, sudden","[(2116, 2116), (3106, 3106)]"
log_1323_1708943059.xes,"sudden, sudden","[(1827, 1827), (3842, 3842)]"
log_1324_1708943064.xes,"sudden, sudden","[(1811, 1811), (3102, 3102)]"
log_1325_1708943070.xes,sudden,"[(2106, 2106)]"
log_1326_1708943079.xes,,
log_1327_1708943080.xes,sudden,"[(1939, 1939)]"
log_1328_1708943082.xes,sudden,"[(1268, 1268)]"
log_1329_1708943084.xes,,
log_132_1708942811.xes,,
log_1330_1708943086.xes,sudden,"[(1448, 1448)]"
log_1331_1708942903.xes,,
log_1332_1708942913.xes,,
log_1333_1708942919.xes,"sudden, sudden","[(1440, 1440), (3531, 3531)]"
log_1334_1708942922.xes,,
log_1335_1708942925.xes,sudden,"[(1955, 1955)]"
log_1336_1708942927.xes,sudden,"[(2161, 2161)]"
log_1337_1708942931.xes,,
log_1338_1708942934.xes,sudden,"[(1561, 1561)]"
log_1339_1708942955.xes,,
log_133_1708942816.xes,sudden,"[(1730, 1730)]"
log_1340_1708942960.xes,sudden,"[(1664, 1664)]"
log_1341_1708942964.xes,,
log_1342_1708942965.xes,,
log_1343_1708942969.xes,sudden,"[(2022, 2022)]"
log_1344_1708942972.xes,sudden,"[(1430, 1430)]"
log_1345_1708942974.xes,,
log_1346_1708942978.xes,,
log_1347_1708942984.xes,"sudden, sudden","[(1293, 1293), (2619, 2619)]"
log_1348_1708942986.xes,sudden,"[(1121, 1121)]"
log_1349_1708942988.xes,sudden,"[(1733, 1733)]"
log_134_1708942826.xes,sudden,"[(1379, 1379)]"
log_1350_1708942990.xes,"sudden, sudden, sudden","[(1787, 1787), (3410, 3410), (5139, 5139)]"
log_1351_1708942994.xes,"sudden, sudden, sudden","[(1666, 1666), (3412, 3412), (5273, 5273)]"
log_1352_1708943000.xes,,
log_1353_1708943004.xes,"sudden, sudden","[(1776, 1776), (3500, 3500)]"
log_1354_1708943008.xes,,
log_1355_1708943013.xes,,
log_1356_1708943015.xes,sudden,"[(1789, 1789)]"
log_1357_1708943018.xes,,
log_1358_1708943020.xes,,
log_1359_1708943027.xes,,
log_135_1708942832.xes,"sudden, sudden, sudden","[(1487, 1487), (3386, 3386), (5674, 5674)]"
log_1360_1708943029.xes,sudden,"[(1441, 1441)]"
log_1361_1708943031.xes,,
log_1362_1708943036.xes,sudden,"[(1239, 1239)]"
log_1363_1708943040.xes,,
log_1364_1708943044.xes,sudden,"[(2311, 2311)]"
log_1365_1708943049.xes,sudden,"[(1135, 1135)]"
log_1366_1708943052.xes,sudden,"[(2208, 2208)]"
log_1367_1708943054.xes,"sudden, sudden","[(1958, 1958), (3944, 3944)]"
log_1368_1708943063.xes,"sudden, sudden, sudden","[(1913, 1913), (3700, 3700), (5277, 5277)]"
log_1369_1708942905.xes,,
log_136_1708942839.xes,sudden,"[(1104, 1104)]"
log_1370_1708942907.xes,,
log_1371_1708942910.xes,sudden,"[(1354, 1354)]"
log_1372_1708942917.xes,sudden,"[(2123, 2123)]"
log_1373_1708942923.xes,sudden,"[(1419, 1419)]"
log_1374_1708942926.xes,sudden,"[(1644, 1644)]"
log_1375_1708942930.xes,,
log_1376_1708942934.xes,"sudden, sudden","[(1825, 1825), (3761, 3761)]"
log_1377_1708942944.xes,sudden,"[(2410, 2410)]"
log_1378_1708942952.xes,,
log_1379_1708942958.xes,,
log_137_1708942841.xes,,
log_1380_1708942962.xes,,
log_1381_1708942965.xes,,
log_1382_1708942977.xes,,
log_1383_1708942985.xes,,
log_1384_1708942989.xes,,
log_1385_1708942992.xes,sudden,"[(1486, 1486)]"
log_1386_1708942996.xes,,
log_1387_1708942999.xes,sudden,"[(3314, 3314)]"
log_1388_1708943005.xes,"sudden, sudden","[(1215, 1215), (3442, 3442)]"
log_1389_1708943011.xes,sudden,"[(1504, 1504)]"
log_138_1708942843.xes,gradual,"[(4206, 5108)]"
log_1390_1708943014.xes,sudden,"[(1881, 1881)]"
log_1391_1708943018.xes,sudden,"[(1252, 1252)]"
log_1392_1708943021.xes,,
log_1393_1708943022.xes,,
log_1394_1708943034.xes,,
log_1395_1708943040.xes,sudden,"[(1327, 1327)]"
log_1396_1708943044.xes,sudden,"[(1299, 1299)]"
log_1397_1708943048.xes,,
log_1398_1708943053.xes,sudden,"[(1977, 1977)]"
log_1399_1708943059.xes,"sudden, sudden","[(1774, 1774), (3158, 3158)]"
log_139_1708942856.xes,sudden,"[(1998, 1998)]"
log_13_1708942775.xes,,
log_1400_1708943063.xes,"sudden, sudden, sudden","[(1384, 1384), (3028, 3028), (4694, 4694)]"
log_1401_1708943069.xes,sudden,"[(2154, 2154)]"
log_1402_1708943077.xes,,
log_1403_1708943085.xes,sudden,"[(1830, 1830)]"
log_1404_1708943090.xes,,
log_1405_1708943094.xes,sudden,"[(1542, 1542)]"
log_1406_1708943097.xes,sudden,"[(2031, 2031)]"
log_1407_1708942906.xes,"sudden, sudden","[(1448, 1448), (3121, 3121)]"
log_1408_1708942911.xes,,
log_1409_1708942916.xes,,
log_140_1708942861.xes,,
log_1410_1708942927.xes,,
log_1411_1708942931.xes,"sudden, sudden","[(2240, 2240), (4189, 4189)]"
log_1412_1708942939.xes,"sudden, gradual, sudden","[(1428, 1428), (2032, 2456), (3044, 3044)]"
log_1413_1708942944.xes,,
log_1414_1708942946.xes,,
log_1415_1708942949.xes,,
log_1416_1708942952.xes,,
log_1417_1708942959.xes,gradual,"[(2077, 3311)]"
log_1418_1708942977.xes,,
log_1419_1708942978.xes,sudden,"[(3506, 3506)]"
log_141_1708942865.xes,"sudden, sudden","[(1503, 1503), (3563, 3563)]"
log_1420_1708942983.xes,,
log_1421_1708942985.xes,,
log_1422_1708942989.xes,sudden,"[(1059, 1059)]"
log_1423_1708942991.xes,sudden,"[(2023, 2023)]"
log_1424_1708942995.xes,,
log_1425_1708942997.xes,,
log_1426_1708943001.xes,sudden,"[(2166, 2166)]"
log_1427_1708943018.xes,"sudden, sudden","[(2032, 2032), (4078, 4078)]"
log_1428_1708943024.xes,,
log_1429_1708943026.xes,sudden,"[(1108, 1108)]"
log_142_1708942869.xes,sudden,"[(1127, 1127)]"
log_1430_1708943028.xes,sudden,"[(1111, 1111)]"
log_1431_1708943034.xes,,
log_1432_1708943037.xes,sudden,"[(1725, 1725)]"
log_1433_1708943044.xes,,
log_1434_1708943048.xes,,
log_1435_1708943050.xes,sudden,"[(1527, 1527)]"
log_1436_1708943062.xes,sudden,"[(2361, 2361)]"
log_1437_1708943070.xes,"sudden, sudden, sudden","[(1805, 1805), (2899, 2899), (4746, 4746)]"
log_1438_1708943074.xes,"sudden, sudden, sudden","[(1532, 1532), (2887, 2887), (4422, 4422)]"
log_1439_1708943084.xes,sudden,"[(2294, 2294)]"
log_143_1708942871.xes,sudden,"[(1603, 1603)]"
log_1440_1708943093.xes,,
log_1441_1708943100.xes,gradual,"[(2689, 3173)]"
log_1442_1708943105.xes,,
log_1443_1708943111.xes,"sudden, sudden","[(1616, 1616), (3621, 3621)]"
log_1444_1708943118.xes,,
log_1445_1708942909.xes,sudden,"[(1739, 1739)]"
log_1446_1708942913.xes,,
log_1447_1708942919.xes,"sudden, sudden","[(1822, 1822), (3205, 3205)]"
log_1448_1708942925.xes,sudden,"[(2284, 2284)]"
log_1449_1708942930.xes,,
log_144_1708942877.xes,,
log_1450_1708942937.xes,sudden,"[(1764, 1764)]"
log_1451_1708942941.xes,sudden,"[(2209, 2209)]"
log_1452_1708942950.xes,,
log_1453_1708942954.xes,"sudden, sudden, sudden","[(1553, 1553), (3447, 3447), (5099, 5099)]"
log_1454_1708942964.xes,"sudden, sudden","[(2358, 2358), (3861, 3861)]"
log_1455_1708942967.xes,,
log_1456_1708942969.xes,sudden,"[(2116, 2116)]"
log_1457_1708942972.xes,sudden,"[(1682, 1682)]"
log_1458_1708942974.xes,sudden,"[(1129, 1129)]"
log_1459_1708942983.xes,,
log_145_1708942889.xes,,
log_1460_1708942988.xes,sudden,"[(1023, 1023)]"
log_1461_1708942990.xes,"sudden, sudden","[(2010, 2010), (3765, 3765)]"
log_1462_1708942996.xes,"sudden, sudden, sudden","[(2124, 2124), (4012, 4012), (5833, 5833)]"
log_1463_1708943000.xes,sudden,"[(4193, 4193)]"
log_1464_1708943003.xes,sudden,"[(944, 944)]"
log_1465_1708943012.xes,sudden,"[(1902, 1902)]"
log_1466_1708943015.xes,,
log_1467_1708943021.xes,"sudden, sudden","[(2056, 2056), (4498, 4498)]"
log_1468_1708943031.xes,"sudden, sudden","[(1057, 1057), (2923, 2923)]"
log_1469_1708943037.xes,,
