,log_name,complexity,actual_cp,detected_cp,log_size,lag_indices,TP,FP,FN_TP,lag
35,Atomic_Swap_output_Swap_5,na,"[999, 1999]","[1947, 929]",2999,29,0,2,2,0.01
36,Atomic_Substitute_output_Substitute,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
37,Atomic_Swap_output_Swap_2,na,"[999, 1999]","[929, 1947]",2999,29,0,2,2,0.01
38,Atomic_Swap_output_Swap,na,"[999, 1999]","[929, 1947]",2999,29,0,2,2,0.01
39,Atomic_ConditionalMove_output_ConditionalMove_2,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
40,Atomic_ConditionalMove_output_ConditionalMove_5,na,"[999, 1999]","[930, 1944]",2999,29,0,2,2,0.01
41,sudden_trace_noise0_1000_lp,na,[499],[490],1000,10,1,0,1,0.01
42,sudden_trace_noise0_1000_OIR,na,[499],[500],1000,10,1,0,1,0.01
43,sudden_trace_noise0_1000_pm,na,[499],[500],1000,10,1,0,1,0.01
44,sudden_trace_noise0_1000_rp,na,[499],[500],1000,10,1,0,1,0.01
45,sudden_trace_noise0_1000_sw,na,[499],[500],1000,10,1,0,1,0.01
46,sudden_trace_noise0_1000_cf,na,[499],[490],1000,10,1,0,1,0.01
47,sudden_trace_noise0_1000_cp,na,[499],[500],1000,10,1,0,1,0.01
48,sudden_trace_noise0_1000_IOR,na,[499],[500],1000,10,1,0,1,0.01
49,sudden_trace_noise0_1000_IRO,na,[499],[500],1000,10,1,0,1,0.01
50,sudden_trace_noise0_1000_pl,na,[499],[],1000,10,0,0,1,0.01
51,sudden_trace_noise0_1000_re,na,[499],[500],1000,10,1,0,1,0.01
52,sudden_trace_noise0_1000_RIO,na,[499],[],1000,10,0,0,1,0.01
53,sudden_trace_noise0_1000_ROI,na,[499],[490],1000,10,1,0,1,0.01
54,sudden_trace_noise10_1000_pl,na,[499],[],1000,10,0,0,1,0.01
55,sudden_trace_noise10_1000_pm,na,[499],[500],1000,10,1,0,1,0.01
56,sudden_trace_noise10_1000_re,na,[499],[500],1000,10,1,0,1,0.01
57,sudden_trace_noise10_1000_RIO,na,[499],[],1000,10,0,0,1,0.01
58,sudden_trace_noise10_1000_ROI,na,[499],[500],1000,10,1,0,1,0.01
59,sudden_trace_noise10_1000_rp,na,[499],[500],1000,10,1,0,1,0.01
60,sudden_trace_noise10_1000_sw,na,[499],[500],1000,10,1,0,1,0.01
61,sudden_trace_noise5_1000_cb,na,[499],[500],1000,10,1,0,1,0.01
62,sudden_trace_noise5_1000_cd,na,[499],[],1000,10,0,0,1,0.01
63,sudden_trace_noise5_1000_cf,na,[499],[],1000,10,0,0,1,0.01
64,sudden_trace_noise5_1000_cp,na,[499],[500],1000,10,1,0,1,0.01
65,sudden_trace_noise5_1000_IRO,na,[499],[500],1000,10,1,0,1,0.01
66,sudden_trace_noise5_1000_lp,na,[499],[],1000,10,0,0,1,0.01
67,sudden_trace_noise0_1000_cb,na,[499],[500],1000,10,1,0,1,0.01
68,sudden_trace_noise0_1000_cd,na,[499],[],1000,10,0,0,1,0.01
69,sudden_trace_noise10_1000_cb,na,[499],[500],1000,10,1,0,1,0.01
70,sudden_trace_noise10_1000_cd,na,[499],[],1000,10,0,0,1,0.01
71,sudden_trace_noise10_1000_cf,na,[499],[490],1000,10,1,0,1,0.01
72,sudden_trace_noise10_1000_cp,na,[499],[500],1000,10,1,0,1,0.01
73,sudden_trace_noise10_1000_IOR,na,[499],[500],1000,10,1,0,1,0.01
74,sudden_trace_noise10_1000_IRO,na,[499],[500],1000,10,1,0,1,0.01
75,sudden_trace_noise10_1000_lp,na,[499],[490],1000,10,1,0,1,0.01
76,sudden_trace_noise10_1000_OIR,na,[499],[500],1000,10,1,0,1,0.01
77,sudden_trace_noise15_1000_cb,na,[499],[501],1000,10,1,0,1,0.01
78,sudden_trace_noise15_1000_cd,na,[499],[],1000,10,0,0,1,0.01
79,sudden_trace_noise15_1000_cf,na,[499],[491],1000,10,1,0,1,0.01
80,sudden_trace_noise15_1000_cp,na,[499],[500],1000,10,1,0,1,0.01
81,sudden_trace_noise15_1000_IOR,na,[499],[500],1000,10,1,0,1,0.01
82,sudden_trace_noise15_1000_IRO,na,[499],[500],1000,10,1,0,1,0.01
83,sudden_trace_noise15_1000_lp,na,[499],[],1000,10,0,0,1,0.01
84,sudden_trace_noise15_1000_OIR,na,[499],[500],1000,10,1,0,1,0.01
85,sudden_trace_noise15_1000_pl,na,[499],[],1000,10,0,0,1,0.01
86,sudden_trace_noise15_1000_pm,na,[499],[500],1000,10,1,0,1,0.01
87,sudden_trace_noise15_1000_re,na,[499],[500],1000,10,1,0,1,0.01
88,sudden_trace_noise15_1000_RIO,na,[499],[490],1000,10,1,0,1,0.01
89,sudden_trace_noise15_1000_ROI,na,[499],[500],1000,10,1,0,1,0.01
90,sudden_trace_noise15_1000_rp,na,[499],[500],1000,10,1,0,1,0.01
91,sudden_trace_noise15_1000_sw,na,[499],[500],1000,10,1,0,1,0.01
92,sudden_trace_noise20_1000_cb,na,[499],[500],1000,10,1,0,1,0.01
93,sudden_trace_noise20_1000_cd,na,[499],[],1000,10,0,0,1,0.01
94,sudden_trace_noise20_1000_cf,na,[499],[490],1000,10,1,0,1,0.01
95,sudden_trace_noise20_1000_cp,na,[499],[500],1000,10,1,0,1,0.01
96,sudden_trace_noise20_1000_IOR,na,[499],[500],1000,10,1,0,1,0.01
97,sudden_trace_noise20_1000_IRO,na,[499],[501],1000,10,1,0,1,0.01
98,sudden_trace_noise20_1000_lp,na,[499],[500],1000,10,1,0,1,0.01
99,sudden_trace_noise20_1000_OIR,na,[499],[500],1000,10,1,0,1,0.01
100,sudden_trace_noise20_1000_pl,na,[499],[],1000,10,0,0,1,0.01
101,sudden_trace_noise20_1000_pm,na,[499],[500],1000,10,1,0,1,0.01
102,sudden_trace_noise20_1000_re,na,[499],[500],1000,10,1,0,1,0.01
103,sudden_trace_noise20_1000_RIO,na,[499],[501],1000,10,1,0,1,0.01
104,sudden_trace_noise20_1000_ROI,na,[499],[500],1000,10,1,0,1,0.01
105,sudden_trace_noise20_1000_rp,na,[499],[490],1000,10,1,0,1,0.01
106,sudden_trace_noise20_1000_sw,na,[499],[500],1000,10,1,0,1,0.01
107,sudden_trace_noise5_1000_OIR,na,[499],[500],1000,10,1,0,1,0.01
108,sudden_trace_noise5_1000_pl,na,[499],[],1000,10,0,0,1,0.01
109,sudden_trace_noise5_1000_pm,na,[499],[500],1000,10,1,0,1,0.01
110,sudden_trace_noise5_1000_re,na,[499],[501],1000,10,1,0,1,0.01
111,sudden_trace_noise5_1000_RIO,na,[499],[],1000,10,0,0,1,0.01
112,sudden_trace_noise5_1000_ROI,na,[499],[490],1000,10,1,0,1,0.01
113,sudden_trace_noise5_1000_rp,na,[499],[500],1000,10,1,0,1,0.01
114,sudden_trace_noise5_1000_sw,na,[499],[500],1000,10,1,0,1,0.01
115,bose_log,na,"[1199, 2399, 3599, 4799]",[],6000,150,0,0,4,0.025
116,sudden_trace_noise5_1000_IOR,na,[499],[500],1000,25,1,0,1,0.025
117,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,na,"[999, 1999]","[959, 1973]",2999,74,2,0,2,0.025
118,Atomic_ConditionalMove_output_ConditionalMove,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
119,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,na,"[999, 1999]","[928, 1944]",2999,74,2,0,2,0.025
120,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,na,"[999, 1999]","[1946, 958]",2999,74,2,0,2,0.025
121,Atomic_ConditionalRemoval_output_ConditionalRemoval,na,"[999, 1999]","[928, 1944]",2999,74,2,0,2,0.025
122,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,na,"[999, 1999]","[1946, 930]",2999,74,2,0,2,0.025
123,Atomic_Frequency_output_Frequency_5,na,"[999, 1999]","[899, 1944]",2999,74,1,1,2,0.025
124,Atomic_ConditionalToSequence_output_ConditionalToSequence,na,"[999, 1999]","[1946, 958]",2999,74,2,0,2,0.025
125,Atomic_Frequency_output_Frequency_2,na,"[999, 1999]","[1944, 930]",2999,74,2,0,2,0.025
126,Atomic_Loop_output_Loop_5,na,"[999, 1999]","[929, 1945]",2999,74,2,0,2,0.025
127,Atomic_Frequency_output_Frequency,na,"[999, 1999]","[1944, 930]",2999,74,2,0,2,0.025
128,Atomic_Loop_output_Loop_2,na,"[999, 1999]","[929, 1945]",2999,74,2,0,2,0.025
129,Atomic_ParallelMove_output_ParallelMove_5,na,"[999, 1999]","[928, 1917]",2999,74,1,1,2,0.025
130,Atomic_Loop_output_Loop,na,"[999, 1999]","[929, 1945]",2999,74,2,0,2,0.025
131,Atomic_ParallelMove_output_ParallelMove_2,na,"[999, 1999]","[1945, 930]",2999,74,2,0,2,0.025
132,Atomic_ParallelRemoval_output_ParallelRemoval_5,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
133,Atomic_ParallelMove_output_ParallelMove,na,"[999, 1999]","[928, 1917]",2999,74,1,1,2,0.025
134,Atomic_ParallelRemoval_output_ParallelRemoval_2,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
135,Atomic_ParallelToSequence_output_ParallelToSequence_5,na,"[999, 1999]","[929, 1946]",2999,74,2,0,2,0.025
136,Atomic_ParallelRemoval_output_ParallelRemoval,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
137,Atomic_ParallelToSequence_output_ParallelToSequence_2,na,"[999, 1999]","[929, 1916]",2999,74,1,1,2,0.025
138,Atomic_SerialMove_output_SerialMove_5,na,"[999, 1999]","[1944, 930]",2999,74,2,0,2,0.025
139,Atomic_ParallelToSequence_output_ParallelToSequence,na,"[999, 1999]","[929, 1916]",2999,74,1,1,2,0.025
140,Atomic_SerialMove_output_SerialMove_2,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
141,Atomic_SerialRemoval_output_SerialRemoval_5,na,"[999, 1999]","[931, 1943]",2999,74,2,0,2,0.025
142,Atomic_SerialMove_output_SerialMove,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
143,Atomic_SerialRemoval_output_SerialRemoval_2,na,"[999, 1999]","[931, 1943]",2999,74,2,0,2,0.025
144,Atomic_Skip_output_Skip_5,na,"[999, 1999]","[958, 1944]",2999,74,2,0,2,0.025
145,Atomic_SerialRemoval_output_SerialRemoval,na,"[999, 1999]","[931, 1943]",2999,74,2,0,2,0.025
146,Atomic_Skip_output_Skip_2,na,"[999, 1999]","[1944, 929]",2999,74,2,0,2,0.025
147,Atomic_Substitute_output_Substitute_5,na,"[999, 1999]","[1944, 930]",2999,74,2,0,2,0.025
148,Atomic_Skip_output_Skip,na,"[999, 1999]","[929, 1944]",2999,74,2,0,2,0.025
149,Atomic_Substitute_output_Substitute_2,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
150,Atomic_Swap_output_Swap_5,na,"[999, 1999]","[1947, 929]",2999,74,2,0,2,0.025
151,Atomic_Substitute_output_Substitute,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
152,Atomic_Swap_output_Swap_2,na,"[999, 1999]","[929, 1947]",2999,74,2,0,2,0.025
153,Atomic_Swap_output_Swap,na,"[999, 1999]","[929, 1947]",2999,74,2,0,2,0.025
154,Atomic_ConditionalMove_output_ConditionalMove_2,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
155,Atomic_ConditionalMove_output_ConditionalMove_5,na,"[999, 1999]","[930, 1944]",2999,74,2,0,2,0.025
156,sudden_trace_noise0_1000_lp,na,[499],[490],1000,25,1,0,1,0.025
157,sudden_trace_noise0_1000_OIR,na,[499],[500],1000,25,1,0,1,0.025
158,sudden_trace_noise0_1000_pm,na,[499],[500],1000,25,1,0,1,0.025
159,sudden_trace_noise0_1000_rp,na,[499],[500],1000,25,1,0,1,0.025
160,sudden_trace_noise0_1000_sw,na,[499],[500],1000,25,1,0,1,0.025
161,sudden_trace_noise0_1000_cf,na,[499],[490],1000,25,1,0,1,0.025
162,sudden_trace_noise0_1000_cp,na,[499],[500],1000,25,1,0,1,0.025
163,sudden_trace_noise0_1000_IOR,na,[499],[500],1000,25,1,0,1,0.025
164,sudden_trace_noise0_1000_IRO,na,[499],[500],1000,25,1,0,1,0.025
165,sudden_trace_noise0_1000_pl,na,[499],[],1000,25,0,0,1,0.025
166,sudden_trace_noise0_1000_re,na,[499],[500],1000,25,1,0,1,0.025
167,sudden_trace_noise0_1000_RIO,na,[499],[],1000,25,0,0,1,0.025
168,sudden_trace_noise0_1000_ROI,na,[499],[490],1000,25,1,0,1,0.025
169,sudden_trace_noise10_1000_pl,na,[499],[],1000,25,0,0,1,0.025
170,sudden_trace_noise10_1000_pm,na,[499],[500],1000,25,1,0,1,0.025
171,sudden_trace_noise10_1000_re,na,[499],[500],1000,25,1,0,1,0.025
172,sudden_trace_noise10_1000_RIO,na,[499],[],1000,25,0,0,1,0.025
173,sudden_trace_noise10_1000_ROI,na,[499],[500],1000,25,1,0,1,0.025
174,sudden_trace_noise10_1000_rp,na,[499],[500],1000,25,1,0,1,0.025
175,sudden_trace_noise10_1000_sw,na,[499],[500],1000,25,1,0,1,0.025
176,sudden_trace_noise5_1000_cb,na,[499],[500],1000,25,1,0,1,0.025
177,sudden_trace_noise5_1000_cd,na,[499],[],1000,25,0,0,1,0.025
178,sudden_trace_noise5_1000_cf,na,[499],[],1000,25,0,0,1,0.025
179,sudden_trace_noise5_1000_cp,na,[499],[500],1000,25,1,0,1,0.025
180,sudden_trace_noise5_1000_IRO,na,[499],[500],1000,25,1,0,1,0.025
181,sudden_trace_noise5_1000_lp,na,[499],[],1000,25,0,0,1,0.025
182,sudden_trace_noise0_1000_cb,na,[499],[500],1000,25,1,0,1,0.025
183,sudden_trace_noise0_1000_cd,na,[499],[],1000,25,0,0,1,0.025
184,sudden_trace_noise10_1000_cb,na,[499],[500],1000,25,1,0,1,0.025
185,sudden_trace_noise10_1000_cd,na,[499],[],1000,25,0,0,1,0.025
186,sudden_trace_noise10_1000_cf,na,[499],[490],1000,25,1,0,1,0.025
187,sudden_trace_noise10_1000_cp,na,[499],[500],1000,25,1,0,1,0.025
188,sudden_trace_noise10_1000_IOR,na,[499],[500],1000,25,1,0,1,0.025
189,sudden_trace_noise10_1000_IRO,na,[499],[500],1000,25,1,0,1,0.025
190,sudden_trace_noise10_1000_lp,na,[499],[490],1000,25,1,0,1,0.025
191,sudden_trace_noise10_1000_OIR,na,[499],[500],1000,25,1,0,1,0.025
192,sudden_trace_noise15_1000_cb,na,[499],[501],1000,25,1,0,1,0.025
193,sudden_trace_noise15_1000_cd,na,[499],[],1000,25,0,0,1,0.025
194,sudden_trace_noise15_1000_cf,na,[499],[491],1000,25,1,0,1,0.025
195,sudden_trace_noise15_1000_cp,na,[499],[500],1000,25,1,0,1,0.025
196,sudden_trace_noise15_1000_IOR,na,[499],[500],1000,25,1,0,1,0.025
197,sudden_trace_noise15_1000_IRO,na,[499],[500],1000,25,1,0,1,0.025
198,sudden_trace_noise15_1000_lp,na,[499],[],1000,25,0,0,1,0.025
199,sudden_trace_noise15_1000_OIR,na,[499],[500],1000,25,1,0,1,0.025
200,sudden_trace_noise15_1000_pl,na,[499],[],1000,25,0,0,1,0.025
201,sudden_trace_noise15_1000_pm,na,[499],[500],1000,25,1,0,1,0.025
202,sudden_trace_noise15_1000_re,na,[499],[500],1000,25,1,0,1,0.025
203,sudden_trace_noise15_1000_RIO,na,[499],[490],1000,25,1,0,1,0.025
204,sudden_trace_noise15_1000_ROI,na,[499],[500],1000,25,1,0,1,0.025
205,sudden_trace_noise15_1000_rp,na,[499],[500],1000,25,1,0,1,0.025
206,sudden_trace_noise15_1000_sw,na,[499],[500],1000,25,1,0,1,0.025
207,sudden_trace_noise20_1000_cb,na,[499],[500],1000,25,1,0,1,0.025
208,sudden_trace_noise20_1000_cd,na,[499],[],1000,25,0,0,1,0.025
209,sudden_trace_noise20_1000_cf,na,[499],[490],1000,25,1,0,1,0.025
210,sudden_trace_noise20_1000_cp,na,[499],[500],1000,25,1,0,1,0.025
211,sudden_trace_noise20_1000_IOR,na,[499],[500],1000,25,1,0,1,0.025
212,sudden_trace_noise20_1000_IRO,na,[499],[501],1000,25,1,0,1,0.025
213,sudden_trace_noise20_1000_lp,na,[499],[500],1000,25,1,0,1,0.025
214,sudden_trace_noise20_1000_OIR,na,[499],[500],1000,25,1,0,1,0.025
215,sudden_trace_noise20_1000_pl,na,[499],[],1000,25,0,0,1,0.025
216,sudden_trace_noise20_1000_pm,na,[499],[500],1000,25,1,0,1,0.025
217,sudden_trace_noise20_1000_re,na,[499],[500],1000,25,1,0,1,0.025
218,sudden_trace_noise20_1000_RIO,na,[499],[501],1000,25,1,0,1,0.025
219,sudden_trace_noise20_1000_ROI,na,[499],[500],1000,25,1,0,1,0.025
220,sudden_trace_noise20_1000_rp,na,[499],[490],1000,25,1,0,1,0.025
221,sudden_trace_noise20_1000_sw,na,[499],[500],1000,25,1,0,1,0.025
222,sudden_trace_noise5_1000_OIR,na,[499],[500],1000,25,1,0,1,0.025
223,sudden_trace_noise5_1000_pl,na,[499],[],1000,25,0,0,1,0.025
224,sudden_trace_noise5_1000_pm,na,[499],[500],1000,25,1,0,1,0.025
225,sudden_trace_noise5_1000_re,na,[499],[501],1000,25,1,0,1,0.025
226,sudden_trace_noise5_1000_RIO,na,[499],[],1000,25,0,0,1,0.025
227,sudden_trace_noise5_1000_ROI,na,[499],[490],1000,25,1,0,1,0.025
228,sudden_trace_noise5_1000_rp,na,[499],[500],1000,25,1,0,1,0.025
229,sudden_trace_noise5_1000_sw,na,[499],[500],1000,25,1,0,1,0.025
230,bose_log,na,"[1199, 2399, 3599, 4799]",[],6000,300,0,0,4,0.05
231,sudden_trace_noise5_1000_IOR,na,[499],[500],1000,50,1,0,1,0.05
232,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,na,"[999, 1999]","[959, 1973]",2999,149,2,0,2,0.05
233,Atomic_ConditionalMove_output_ConditionalMove,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
234,Atomic_ConditionalRemoval_output_ConditionalRemoval_2,na,"[999, 1999]","[928, 1944]",2999,149,2,0,2,0.05
235,Atomic_ConditionalToSequence_output_ConditionalToSequence_5,na,"[999, 1999]","[1946, 958]",2999,149,2,0,2,0.05
236,Atomic_ConditionalRemoval_output_ConditionalRemoval,na,"[999, 1999]","[928, 1944]",2999,149,2,0,2,0.05
237,Atomic_ConditionalToSequence_output_ConditionalToSequence_2,na,"[999, 1999]","[1946, 930]",2999,149,2,0,2,0.05
238,Atomic_Frequency_output_Frequency_5,na,"[999, 1999]","[899, 1944]",2999,149,2,0,2,0.05
239,Atomic_ConditionalToSequence_output_ConditionalToSequence,na,"[999, 1999]","[1946, 958]",2999,149,2,0,2,0.05
240,Atomic_Frequency_output_Frequency_2,na,"[999, 1999]","[1944, 930]",2999,149,2,0,2,0.05
241,Atomic_Loop_output_Loop_5,na,"[999, 1999]","[929, 1945]",2999,149,2,0,2,0.05
242,Atomic_Frequency_output_Frequency,na,"[999, 1999]","[1944, 930]",2999,149,2,0,2,0.05
243,Atomic_Loop_output_Loop_2,na,"[999, 1999]","[929, 1945]",2999,149,2,0,2,0.05
244,Atomic_ParallelMove_output_ParallelMove_5,na,"[999, 1999]","[928, 1917]",2999,149,2,0,2,0.05
245,Atomic_Loop_output_Loop,na,"[999, 1999]","[929, 1945]",2999,149,2,0,2,0.05
246,Atomic_ParallelMove_output_ParallelMove_2,na,"[999, 1999]","[1945, 930]",2999,149,2,0,2,0.05
247,Atomic_ParallelRemoval_output_ParallelRemoval_5,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
248,Atomic_ParallelMove_output_ParallelMove,na,"[999, 1999]","[928, 1917]",2999,149,2,0,2,0.05
249,Atomic_ParallelRemoval_output_ParallelRemoval_2,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
250,Atomic_ParallelToSequence_output_ParallelToSequence_5,na,"[999, 1999]","[929, 1946]",2999,149,2,0,2,0.05
251,Atomic_ParallelRemoval_output_ParallelRemoval,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
252,Atomic_ParallelToSequence_output_ParallelToSequence_2,na,"[999, 1999]","[929, 1916]",2999,149,2,0,2,0.05
253,Atomic_SerialMove_output_SerialMove_5,na,"[999, 1999]","[1944, 930]",2999,149,2,0,2,0.05
254,Atomic_ParallelToSequence_output_ParallelToSequence,na,"[999, 1999]","[929, 1916]",2999,149,2,0,2,0.05
255,Atomic_SerialMove_output_SerialMove_2,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
256,Atomic_SerialRemoval_output_SerialRemoval_5,na,"[999, 1999]","[931, 1943]",2999,149,2,0,2,0.05
257,Atomic_SerialMove_output_SerialMove,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
258,Atomic_SerialRemoval_output_SerialRemoval_2,na,"[999, 1999]","[931, 1943]",2999,149,2,0,2,0.05
259,Atomic_Skip_output_Skip_5,na,"[999, 1999]","[958, 1944]",2999,149,2,0,2,0.05
260,Atomic_SerialRemoval_output_SerialRemoval,na,"[999, 1999]","[931, 1943]",2999,149,2,0,2,0.05
261,Atomic_Skip_output_Skip_2,na,"[999, 1999]","[1944, 929]",2999,149,2,0,2,0.05
262,Atomic_Substitute_output_Substitute_5,na,"[999, 1999]","[1944, 930]",2999,149,2,0,2,0.05
263,Atomic_Skip_output_Skip,na,"[999, 1999]","[929, 1944]",2999,149,2,0,2,0.05
264,Atomic_Substitute_output_Substitute_2,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
265,Atomic_Swap_output_Swap_5,na,"[999, 1999]","[1947, 929]",2999,149,2,0,2,0.05
266,Atomic_Substitute_output_Substitute,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
267,Atomic_Swap_output_Swap_2,na,"[999, 1999]","[929, 1947]",2999,149,2,0,2,0.05
268,Atomic_Swap_output_Swap,na,"[999, 1999]","[929, 1947]",2999,149,2,0,2,0.05
269,Atomic_ConditionalMove_output_ConditionalMove_2,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
270,Atomic_ConditionalMove_output_ConditionalMove_5,na,"[999, 1999]","[930, 1944]",2999,149,2,0,2,0.05
271,sudden_trace_noise0_1000_lp,na,[499],[490],1000,50,1,0,1,0.05
272,sudden_trace_noise0_1000_OIR,na,[499],[500],1000,50,1,0,1,0.05
273,sudden_trace_noise0_1000_pm,na,[499],[500],1000,50,1,0,1,0.05
274,sudden_trace_noise0_1000_rp,na,[499],[500],1000,50,1,0,1,0.05
275,sudden_trace_noise0_1000_sw,na,[499],[500],1000,50,1,0,1,0.05
276,sudden_trace_noise0_1000_cf,na,[499],[490],1000,50,1,0,1,0.05
277,sudden_trace_noise0_1000_cp,na,[499],[500],1000,50,1,0,1,0.05
278,sudden_trace_noise0_1000_IOR,na,[499],[500],1000,50,1,0,1,0.05
279,sudden_trace_noise0_1000_IRO,na,[499],[500],1000,50,1,0,1,0.05
280,sudden_trace_noise0_1000_pl,na,[499],[],1000,50,0,0,1,0.05
281,sudden_trace_noise0_1000_re,na,[499],[500],1000,50,1,0,1,0.05
282,sudden_trace_noise0_1000_RIO,na,[499],[],1000,50,0,0,1,0.05
283,sudden_trace_noise0_1000_ROI,na,[499],[490],1000,50,1,0,1,0.05
284,sudden_trace_noise10_1000_pl,na,[499],[],1000,50,0,0,1,0.05
285,sudden_trace_noise10_1000_pm,na,[499],[500],1000,50,1,0,1,0.05
