,log_name,drift_or_noise_id,drift_type,drift_attribute,change_trace_index,change_type,drift_traces_index
17,log_16_1708942473.xes,drift_2,sudden,change_info_1,"[140, 140, 140, 140]",sudden,[3494]
18,log_17_1708942475.xes,drift_1,sudden,change_info_1,"[81, 81, 81, 81]",sudden,[1288]
19,log_17_1708942475.xes,drift_2,sudden,change_info_1,"[144, 144, 144, 144]",sudden,[2296]
20,log_18_1708942475.xes,drift_1,gradual,change_info_1,"[60, 60, 74, 74]",gradual,"[1721, 2142]"
21,log_18_1708942475.xes,drift_2,gradual,change_info_1,"[132, 132, 148, 148]",gradual,"[3821, 4264]"
22,log_21_1708942489.xes,drift_1,sudden,change_info_1,"[53, 53, 53, 53]",sudden,[1406]
23,log_21_1708942489.xes,drift_2,sudden,change_info_1,"[109, 109, 109, 109]",sudden,[2931]
24,log_21_1708942489.xes,drift_3,sudden,change_info_1,"[152, 152, 152, 152]",sudden,[4085]
25,log_22_1708942491.xes,drift_1,sudden,change_info_1,"[43, 43, 43, 43]",sudden,[1578]
26,log_22_1708942491.xes,drift_2,gradual,change_info_1,"[94, 94, 110, 110]",gradual,"[3447, 4038]"
27,log_22_1708942491.xes,drift_3,gradual,change_info_1,"[143, 143, 156, 156]",gradual,"[5271, 5760]"
28,log_23_1708942492.xes,drift_1,gradual,change_info_1,"[59, 59, 75, 75]",gradual,"[1917, 2447]"
29,log_23_1708942492.xes,drift_2,gradual,change_info_1,"[134, 134, 152, 152]",gradual,"[4418, 5005]"
30,log_24_1708942496.xes,drift_1,gradual,change_info_1,"[73, 73, 95, 95]",gradual,"[1662, 2171]"
31,log_24_1708942496.xes,drift_2,sudden,change_info_1,"[145, 145, 145, 145]",sudden,[3331]
32,log_26_1708942498.xes,drift_1,sudden,change_info_1,"[92, 92, 92, 92]",sudden,[1275]
33,log_27_1708942500.xes,drift_1,sudden,change_info_1,"[73, 73, 73, 73]",sudden,[1817]
34,log_27_1708942500.xes,drift_2,gradual,change_info_1,"[118, 118, 133, 133]",gradual,"[2947, 3311]"
35,log_28_1708942507.xes,drift_1,sudden,change_info_1,"[55, 55, 55, 55]",sudden,[1479]
36,log_28_1708942507.xes,drift_2,gradual,change_info_1,"[119, 119, 137, 137]",gradual,"[3199, 3695]"
37,log_30_1708942511.xes,drift_1,gradual,change_info_1,"[36, 36, 49, 49]",gradual,"[1373, 1893]"
38,log_30_1708942511.xes,drift_2,sudden,change_info_1,"[95, 95, 95, 95]",sudden,[3700]
39,log_30_1708942511.xes,drift_3,gradual,change_info_1,"[136, 136, 151, 151]",gradual,"[5276, 5857]"
40,log_31_1708942515.xes,drift_1,gradual,change_info_1,"[75, 75, 90, 90]",gradual,"[1942, 2325]"
41,log_31_1708942515.xes,drift_2,gradual,change_info_1,"[134, 134, 153, 153]",gradual,"[3483, 3960]"
42,log_33_1708942519.xes,drift_1,sudden,change_info_1,"[35, 35, 35, 35]",sudden,[1015]
43,log_33_1708942519.xes,drift_2,sudden,change_info_1,"[96, 96, 96, 96]",sudden,[2781]
44,log_33_1708942519.xes,drift_3,sudden,change_info_1,"[148, 148, 148, 148]",sudden,[4270]
45,log_34_1708942523.xes,drift_1,gradual,change_info_1,"[45, 45, 57, 57]",gradual,"[1507, 1919]"
46,log_34_1708942523.xes,drift_2,gradual,change_info_1,"[89, 89, 106, 106]",gradual,"[3016, 3573]"
47,log_34_1708942523.xes,drift_3,gradual,change_info_1,"[138, 138, 154, 154]",gradual,"[4676, 5234]"
48,log_35_1708942524.xes,drift_1,sudden,change_info_1,"[36, 36, 36, 36]",sudden,[1179]
49,log_35_1708942524.xes,drift_2,gradual,change_info_1,"[86, 86, 96, 96]",gradual,"[2828, 3150]"
50,log_35_1708942524.xes,drift_3,sudden,change_info_1,"[149, 149, 149, 149]",sudden,[4903]
51,log_38_1708942531.xes,drift_1,sudden,change_info_1,"[83, 83, 83, 83]",sudden,[1981]
52,log_38_1708942531.xes,drift_2,sudden,change_info_1,"[154, 154, 154, 154]",sudden,[3677]
53,log_40_1708942534.xes,drift_1,gradual,change_info_1,"[105, 105, 124, 124]",gradual,"[1770, 2103]"
54,log_41_1708942535.xes,drift_1,gradual,change_info_1,"[98, 98, 120, 120]",gradual,"[1557, 1919]"
55,log_42_1708942537.xes,drift_1,gradual,change_info_1,"[97, 97, 120, 120]",gradual,"[1640, 2038]"
56,log_43_1708942539.xes,drift_1,sudden,change_info_1,"[47, 47, 47, 47]",sudden,[1123]
57,log_43_1708942539.xes,drift_2,sudden,change_info_1,"[98, 98, 98, 98]",sudden,[2332]
58,log_43_1708942539.xes,drift_3,sudden,change_info_1,"[151, 151, 151, 151]",sudden,[3623]
59,log_44_1708942541.xes,drift_1,gradual,change_info_1,"[55, 55, 70, 70]",gradual,"[1205, 1523]"
60,log_44_1708942541.xes,drift_2,sudden,change_info_1,"[135, 135, 135, 135]",sudden,[2953]
61,log_46_1708942548.xes,drift_1,gradual,change_info_1,"[39, 39, 51, 51]",gradual,"[1202, 1579]"
62,log_46_1708942548.xes,drift_2,gradual,change_info_1,"[86, 86, 103, 103]",gradual,"[2661, 3180]"
63,log_46_1708942548.xes,drift_3,sudden,change_info_1,"[167, 167, 167, 167]",sudden,[5154]
64,log_47_1708942551.xes,drift_1,gradual,change_info_1,"[64, 64, 83, 83]",gradual,"[1836, 2383]"
65,log_47_1708942551.xes,drift_2,gradual,change_info_1,"[141, 141, 157, 157]",gradual,"[4071, 4525]"
66,log_48_1708942554.xes,drift_1,sudden,change_info_1,"[40, 40, 40, 40]",sudden,[1067]
67,log_48_1708942554.xes,drift_2,gradual,change_info_1,"[82, 82, 97, 97]",gradual,"[2209, 2598]"
68,log_48_1708942554.xes,drift_3,sudden,change_info_1,"[153, 153, 153, 153]",sudden,[4124]
69,log_49_1708942557.xes,drift_1,gradual,change_info_1,"[63, 63, 81, 81]",gradual,"[1438, 1848]"
70,log_49_1708942557.xes,drift_2,sudden,change_info_1,"[151, 151, 151, 151]",sudden,[3456]
71,log_50_1708942559.xes,drift_1,gradual,change_info_1,"[29, 29, 44, 44]",gradual,"[1045, 1599]"
72,log_50_1708942559.xes,drift_2,gradual,change_info_1,"[80, 80, 93, 93]",gradual,"[2942, 3427]"
73,log_50_1708942559.xes,drift_3,gradual,change_info_1,"[133, 133, 149, 149]",gradual,"[4915, 5493]"
74,log_51_1708942562.xes,drift_1,gradual,change_info_1,"[61, 61, 81, 81]",gradual,"[1623, 2168]"
75,log_51_1708942562.xes,drift_2,gradual,change_info_1,"[153, 153, 169, 169]",gradual,"[4105, 4538]"
76,log_53_1708942564.xes,drift_1,gradual,change_info_1,"[83, 83, 118, 118]",gradual,"[1405, 2001]"
77,log_54_1708942565.xes,drift_1,sudden,change_info_1,"[53, 53, 53, 53]",sudden,[1108]
78,log_54_1708942565.xes,drift_2,sudden,change_info_1,"[135, 135, 135, 135]",sudden,[2828]
79,log_55_1708942567.xes,drift_1,gradual,change_info_1,"[45, 45, 60, 60]",gradual,"[1588, 2139]"
80,log_55_1708942567.xes,drift_2,gradual,change_info_1,"[91, 91, 107, 107]",gradual,"[3266, 3823]"
81,log_55_1708942567.xes,drift_3,gradual,change_info_1,"[154, 154, 164, 164]",gradual,"[5510, 5887]"
82,log_56_1708942573.xes,drift_1,gradual,change_info_1,"[66, 66, 84, 84]",gradual,"[1958, 2497]"
83,log_56_1708942573.xes,drift_2,gradual,change_info_1,"[133, 133, 150, 150]",gradual,"[3974, 4473]"
84,log_57_1708942575.xes,drift_1,sudden,change_info_1,"[56, 56, 56, 56]",sudden,[1158]
85,log_57_1708942575.xes,drift_2,sudden,change_info_1,"[110, 110, 110, 110]",sudden,[2309]
86,log_59_1708942581.xes,drift_1,sudden,change_info_1,"[100, 100, 100, 100]",sudden,[1392]
87,log_60_1708942581.xes,drift_1,sudden,change_info_1,"[112, 112, 112, 112]",sudden,[1561]
88,log_61_1708942583.xes,drift_1,gradual,change_info_1,"[87, 87, 109, 109]",gradual,"[1473, 1841]"
89,log_65_1708942593.xes,drift_1,gradual,change_info_1,"[116, 116, 139, 139]",gradual,"[1963, 2355]"
90,log_66_1708942597.xes,drift_1,gradual,change_info_1,"[50, 50, 65, 65]",gradual,"[1527, 1989]"
91,log_66_1708942597.xes,drift_2,sudden,change_info_1,"[113, 113, 113, 113]",sudden,[3478]
92,log_66_1708942597.xes,drift_3,gradual,change_info_1,"[149, 149, 165, 165]",gradual,"[4589, 5115]"
93,log_67_1708942599.xes,drift_1,gradual,change_info_1,"[46, 46, 67, 67]",gradual,"[1273, 1853]"
94,log_67_1708942599.xes,drift_2,gradual,change_info_1,"[132, 132, 145, 145]",gradual,"[3692, 4042]"
95,log_68_1708942601.xes,drift_1,gradual,change_info_1,"[41, 41, 53, 53]",gradual,"[1494, 1930]"
96,log_68_1708942601.xes,drift_2,gradual,change_info_1,"[103, 103, 114, 114]",gradual,"[3803, 4198]"
97,log_68_1708942601.xes,drift_3,gradual,change_info_1,"[162, 162, 177, 177]",gradual,"[5986, 6514]"
98,log_70_1708942608.xes,drift_1,gradual,change_info_1,"[89, 89, 113, 113]",gradual,"[1772, 2258]"
99,log_71_1708942611.xes,drift_1,sudden,change_info_1,"[57, 57, 57, 57]",sudden,[1410]
100,log_71_1708942611.xes,drift_2,gradual,change_info_1,"[113, 113, 133, 133]",gradual,"[2808, 3318]"
101,log_72_1708942613.xes,drift_1,sudden,change_info_1,"[62, 62, 62, 62]",sudden,[1477]
102,log_72_1708942613.xes,drift_2,sudden,change_info_1,"[124, 124, 124, 124]",sudden,[2956]
103,log_74_1708942617.xes,drift_1,gradual,change_info_1,"[49, 49, 61, 61]",gradual,"[1443, 1816]"
104,log_74_1708942617.xes,drift_2,sudden,change_info_1,"[121, 121, 121, 121]",sudden,[3620]
105,log_74_1708942617.xes,drift_3,sudden,change_info_1,"[170, 170, 170, 170]",sudden,[5073]
106,log_76_1708942619.xes,drift_1,gradual,change_info_1,"[40, 40, 60, 60]",gradual,"[1019, 1538]"
107,log_76_1708942619.xes,drift_2,gradual,change_info_1,"[130, 130, 149, 149]",gradual,"[3371, 3868]"
108,log_80_1708942626.xes,drift_1,gradual,change_info_1,"[59, 59, 82, 82]",gradual,"[1462, 2045]"
109,log_80_1708942626.xes,drift_2,sudden,change_info_1,"[156, 156, 156, 156]",sudden,[3879]
110,log_81_1708942628.xes,drift_1,sudden,change_info_1,"[69, 69, 69, 69]",sudden,[1701]
111,log_81_1708942628.xes,drift_2,gradual,change_info_1,"[140, 140, 162, 162]",gradual,"[3478, 4032]"
112,log_82_1708942630.xes,drift_1,gradual,change_info_1,"[30, 30, 45, 45]",gradual,"[1105, 1652]"
113,log_82_1708942630.xes,drift_2,sudden,change_info_1,"[85, 85, 85, 85]",sudden,[3119]
114,log_82_1708942630.xes,drift_3,gradual,change_info_1,"[137, 137, 152, 152]",gradual,"[5056, 5619]"
115,log_83_1708942634.xes,drift_1,gradual,change_info_1,"[67, 67, 82, 82]",gradual,"[1997, 2450]"
116,log_83_1708942634.xes,drift_2,sudden,change_info_1,"[140, 140, 140, 140]",sudden,[4190]
117,log_84_1708942638.xes,drift_1,gradual,change_info_1,"[81, 81, 99, 99]",gradual,"[1694, 2070]"
118,log_84_1708942638.xes,drift_2,sudden,change_info_1,"[148, 148, 148, 148]",sudden,[3103]
119,log_85_1708942448.xes,drift_1,gradual,change_info_1,"[51, 51, 67, 67]",gradual,"[1303, 1741]"
120,log_85_1708942448.xes,drift_2,gradual,change_info_1,"[139, 139, 161, 161]",gradual,"[3607, 4161]"
121,log_86_1708942450.xes,drift_1,sudden,change_info_1,"[57, 57, 57, 57]",sudden,[1986]
122,log_86_1708942450.xes,drift_2,gradual,change_info_1,"[106, 106, 119, 119]",gradual,"[3690, 4144]"
123,log_86_1708942450.xes,drift_3,gradual,change_info_1,"[164, 164, 173, 173]",gradual,"[5714, 6022]"
124,log_87_1708942453.xes,drift_1,gradual,change_info_1,"[52, 52, 70, 70]",gradual,"[1441, 1938]"
125,log_87_1708942453.xes,drift_2,gradual,change_info_1,"[121, 121, 134, 134]",gradual,"[3368, 3726]"
126,log_88_1708942455.xes,drift_1,gradual,change_info_1,"[35, 35, 51, 51]",gradual,"[1165, 1729]"
127,log_88_1708942455.xes,drift_2,sudden,change_info_1,"[93, 93, 93, 93]",sudden,[3130]
128,log_88_1708942455.xes,drift_3,sudden,change_info_1,"[151, 151, 151, 151]",sudden,[5129]
129,log_91_1708942459.xes,drift_1,sudden,change_info_1,"[80, 80, 80, 80]",sudden,[1745]
130,log_91_1708942459.xes,drift_2,gradual,change_info_1,"[139, 139, 157, 157]",gradual,"[3046, 3436]"
131,log_92_1708942461.xes,drift_1,sudden,change_info_1,"[45, 45, 45, 45]",sudden,[1462]
132,log_92_1708942461.xes,drift_2,gradual,change_info_1,"[86, 86, 102, 102]",gradual,"[2818, 3353]"
133,log_92_1708942461.xes,drift_3,gradual,change_info_1,"[135, 135, 148, 148]",gradual,"[4450, 4879]"
134,log_93_1708942464.xes,drift_1,gradual,change_info_1,"[39, 39, 57, 57]",gradual,"[1189, 1754]"
135,log_93_1708942464.xes,drift_2,sudden,change_info_1,"[96, 96, 96, 96]",sudden,[2968]
136,log_93_1708942464.xes,drift_3,gradual,change_info_1,"[148, 148, 158, 158]",gradual,"[4561, 4883]"
137,log_94_1708942466.xes,drift_1,gradual,change_info_1,"[43, 43, 62, 62]",gradual,"[1284, 1851]"
138,log_94_1708942466.xes,drift_2,gradual,change_info_1,"[101, 101, 111, 111]",gradual,"[3012, 3322]"
139,log_94_1708942466.xes,drift_3,sudden,change_info_1,"[147, 147, 147, 147]",sudden,[4399]
140,log_95_1708942471.xes,drift_1,sudden,change_info_1,"[71, 71, 71, 71]",sudden,[1545]
141,log_95_1708942471.xes,drift_2,sudden,change_info_1,"[126, 126, 126, 126]",sudden,[2766]
142,log_96_1708942472.xes,drift_1,gradual,change_info_1,"[98, 98, 119, 119]",gradual,"[1656, 2009]"
143,log_97_1708942474.xes,drift_1,gradual,change_info_1,"[94, 94, 111, 111]",gradual,"[1872, 2215]"
144,log_98_1708942475.xes,drift_1,sudden,change_info_1,"[95, 95, 95, 95]",sudden,[1134]
145,log_99_1708942476.xes,drift_1,gradual,change_info_1,"[34, 34, 43, 43]",gradual,"[1161, 1505]"
146,log_99_1708942476.xes,drift_2,sudden,change_info_1,"[94, 94, 94, 94]",sudden,[3271]
147,log_99_1708942476.xes,drift_3,sudden,change_info_1,"[144, 144, 144, 144]",sudden,[5040]
148,log_100_1708942481.xes,drift_1,gradual,change_info_1,"[90, 90, 117, 117]",gradual,"[1878, 2438]"
149,log_101_1708942482.xes,drift_1,sudden,change_info_1,"[88, 88, 88, 88]",sudden,[1396]
150,log_102_1708942484.xes,drift_1,gradual,change_info_1,"[70, 70, 91, 91]",gradual,"[1812, 2364]"
151,log_102_1708942484.xes,drift_2,sudden,change_info_1,"[135, 135, 135, 135]",sudden,[3497]
152,log_103_1708942486.xes,drift_1,gradual,change_info_1,"[34, 34, 44, 44]",gradual,"[1035, 1337]"
153,log_103_1708942486.xes,drift_2,gradual,change_info_1,"[101, 101, 112, 112]",gradual,"[3126, 3469]"
154,log_103_1708942486.xes,drift_3,sudden,change_info_1,"[164, 164, 164, 164]",sudden,[5058]
155,log_104_1708942492.xes,drift_1,sudden,change_info_1,"[62, 62, 62, 62]",sudden,[1480]
156,log_104_1708942492.xes,drift_2,sudden,change_info_1,"[126, 126, 126, 126]",sudden,[3022]
157,log_105_1708942495.xes,drift_1,gradual,change_info_1,"[102, 102, 138, 138]",gradual,"[1423, 1919]"
158,log_106_1708942497.xes,drift_1,gradual,change_info_1,"[45, 45, 58, 58]",gradual,"[1589, 2069]"
159,log_106_1708942497.xes,drift_2,gradual,change_info_1,"[104, 104, 120, 120]",gradual,"[3731, 4297]"
160,log_106_1708942497.xes,drift_3,sudden,change_info_1,"[155, 155, 155, 155]",sudden,[5569]
161,log_107_1708942499.xes,drift_1,sudden,change_info_1,"[72, 72, 72, 72]",sudden,[1781]
162,log_107_1708942499.xes,drift_2,sudden,change_info_1,"[138, 138, 138, 138]",sudden,[3447]
163,log_108_1708942503.xes,drift_1,gradual,change_info_1,"[45, 45, 59, 59]",gradual,"[1348, 1760]"
164,log_108_1708942503.xes,drift_2,gradual,change_info_1,"[123, 123, 142, 142]",gradual,"[3669, 4231]"
165,log_109_1708942505.xes,drift_1,gradual,change_info_1,"[67, 67, 86, 86]",gradual,"[1869, 2393]"
166,log_109_1708942505.xes,drift_2,gradual,change_info_1,"[136, 136, 150, 150]",gradual,"[3782, 4196]"
167,log_110_1708942507.xes,drift_1,sudden,change_info_1,"[87, 87, 87, 87]",sudden,[1216]
168,log_111_1708942508.xes,drift_1,sudden,change_info_1,"[118, 118, 118, 118]",sudden,[1650]
169,log_112_1708942510.xes,drift_1,gradual,change_info_1,"[42, 42, 59, 59]",gradual,"[1084, 1520]"
170,log_112_1708942510.xes,drift_2,gradual,change_info_1,"[117, 117, 134, 134]",gradual,"[3021, 3461]"
171,log_114_1708942515.xes,drift_1,sudden,change_info_1,"[79, 79, 79, 79]",sudden,[1098]
172,log_115_1708942515.xes,drift_1,gradual,change_info_1,"[50, 50, 60, 60]",gradual,"[1899, 2250]"
173,log_115_1708942515.xes,drift_2,gradual,change_info_1,"[112, 112, 120, 120]",gradual,"[4247, 4551]"
174,log_115_1708942515.xes,drift_3,gradual,change_info_1,"[158, 158, 168, 168]",gradual,"[5992, 6384]"
175,log_117_1708942519.xes,drift_1,gradual,change_info_1,"[46, 46, 65, 65]",gradual,"[1041, 1473]"
176,log_117_1708942519.xes,drift_2,gradual,change_info_1,"[111, 111, 133, 133]",gradual,"[2542, 3039]"
177,log_118_1708942526.xes,drift_1,sudden,change_info_1,"[120, 120, 120, 120]",sudden,[1790]
178,log_119_1708942527.xes,drift_1,sudden,change_info_1,"[73, 73, 73, 73]",sudden,[1531]
179,log_119_1708942527.xes,drift_2,gradual,change_info_1,"[133, 133, 161, 161]",gradual,"[2779, 3364]"
180,log_120_1708942529.xes,drift_1,gradual,change_info_1,"[64, 64, 87, 87]",gradual,"[1343, 1811]"
181,log_120_1708942529.xes,drift_2,sudden,change_info_1,"[139, 139, 139, 139]",sudden,[2915]
182,log_122_1708942535.xes,drift_1,gradual,change_info_1,"[46, 46, 60, 60]",gradual,"[1462, 1901]"
183,log_122_1708942535.xes,drift_2,gradual,change_info_1,"[117, 117, 126, 126]",gradual,"[3713, 4018]"
184,log_122_1708942535.xes,drift_3,sudden,change_info_1,"[164, 164, 164, 164]",sudden,[5236]
185,log_123_1708942537.xes,drift_1,gradual,change_info_1,"[79, 79, 92, 92]",gradual,"[1877, 2186]"
186,log_123_1708942537.xes,drift_2,sudden,change_info_1,"[136, 136, 136, 136]",sudden,[3262]
187,log_124_1708942538.xes,drift_1,gradual,change_info_1,"[42, 42, 57, 57]",gradual,"[1549, 2098]"
188,log_124_1708942538.xes,drift_2,sudden,change_info_1,"[97, 97, 97, 97]",sudden,[3580]
189,log_124_1708942538.xes,drift_3,gradual,change_info_1,"[151, 151, 161, 161]",gradual,"[5572, 5923]"
190,log_125_1708942544.xes,drift_1,sudden,change_info_1,"[105, 105, 105, 105]",sudden,[1359]
191,log_126_1708942545.xes,drift_1,sudden,change_info_1,"[107, 107, 107, 107]",sudden,[1910]
192,log_128_1708942548.xes,drift_1,sudden,change_info_1,"[60, 60, 60, 60]",sudden,[1776]
193,log_128_1708942548.xes,drift_2,sudden,change_info_1,"[121, 121, 121, 121]",sudden,[3611]
194,log_128_1708942548.xes,drift_3,sudden,change_info_1,"[157, 157, 157, 157]",sudden,[4703]
195,log_129_1708942552.xes,drift_1,sudden,change_info_1,"[92, 92, 92, 92]",sudden,[1563]
196,log_130_1708942555.xes,drift_1,gradual,change_info_1,"[83, 83, 103, 103]",gradual,"[1987, 2457]"
197,log_130_1708942555.xes,drift_2,sudden,change_info_1,"[145, 145, 145, 145]",sudden,[3479]
198,log_131_1708942558.xes,drift_1,sudden,change_info_1,"[107, 107, 107, 107]",sudden,[1916]
199,log_133_1708942560.xes,drift_1,gradual,change_info_1,"[50, 50, 58, 58]",gradual,"[1947, 2253]"
200,log_133_1708942560.xes,drift_2,sudden,change_info_1,"[106, 106, 106, 106]",sudden,[4122]
201,log_133_1708942560.xes,drift_3,gradual,change_info_1,"[145, 145, 157, 157]",gradual,"[5626, 6091]"
202,log_134_1708942565.xes,drift_1,sudden,change_info_1,"[59, 59, 59, 59]",sudden,[1222]
203,log_134_1708942565.xes,drift_2,sudden,change_info_1,"[123, 123, 123, 123]",sudden,[2573]
204,log_135_1708942567.xes,drift_1,gradual,change_info_1,"[49, 49, 66, 66]",gradual,"[1556, 2111]"
205,log_135_1708942567.xes,drift_2,sudden,change_info_1,"[99, 99, 99, 99]",sudden,[3159]
206,log_135_1708942567.xes,drift_3,gradual,change_info_1,"[147, 147, 158, 158]",gradual,"[4692, 5036]"
207,log_138_1708942582.xes,drift_1,sudden,change_info_1,"[54, 54, 54, 54]",sudden,[1782]
208,log_138_1708942582.xes,drift_2,sudden,change_info_1,"[109, 109, 109, 109]",sudden,[3581]
209,log_138_1708942582.xes,drift_3,sudden,change_info_1,"[153, 153, 153, 153]",sudden,[5038]
210,log_139_1708942584.xes,drift_1,gradual,change_info_1,"[65, 65, 84, 84]",gradual,"[1881, 2408]"
211,log_139_1708942584.xes,drift_2,gradual,change_info_1,"[123, 123, 142, 142]",gradual,"[3555, 4116]"
212,log_140_1708942592.xes,drift_1,gradual,change_info_1,"[53, 53, 71, 71]",gradual,"[1516, 2051]"
213,log_140_1708942592.xes,drift_2,gradual,change_info_1,"[120, 120, 136, 136]",gradual,"[3476, 3916]"
214,log_142_1708942594.xes,drift_1,gradual,change_info_1,"[71, 71, 89, 89]",gradual,"[1906, 2381]"
215,log_142_1708942594.xes,drift_2,sudden,change_info_1,"[142, 142, 142, 142]",sudden,[3823]
216,log_143_1708942598.xes,drift_1,sudden,change_info_1,"[100, 100, 100, 100]",sudden,[1293]
217,log_145_1708942601.xes,drift_1,sudden,change_info_1,"[92, 92, 92, 92]",sudden,[1282]
218,log_146_1708942601.xes,drift_1,sudden,change_info_1,"[66, 66, 66, 66]",sudden,[1977]
219,log_146_1708942601.xes,drift_2,gradual,change_info_1,"[126, 126, 139, 139]",gradual,"[3761, 4161]"
220,log_147_1708942604.xes,drift_1,sudden,change_info_1,"[100, 100, 100, 100]",sudden,[1291]
221,log_149_1708942605.xes,drift_1,gradual,change_info_1,"[87, 87, 117, 117]",gradual,"[1733, 2330]"
222,log_150_1708942610.xes,drift_1,gradual,change_info_1,"[73, 73, 88, 88]",gradual,"[1443, 1754]"
223,log_150_1708942610.xes,drift_2,sudden,change_info_1,"[147, 147, 147, 147]",sudden,[2938]
224,log_151_1708942612.xes,drift_1,sudden,change_info_1,"[135, 135, 135, 135]",sudden,[1748]
225,log_152_1708942614.xes,drift_1,sudden,change_info_1,"[51, 51, 51, 51]",sudden,[1007]
226,log_152_1708942614.xes,drift_2,sudden,change_info_1,"[148, 148, 148, 148]",sudden,[2954]
227,log_153_1708942616.xes,drift_1,gradual,change_info_1,"[47, 47, 66, 66]",gradual,"[1122, 1570]"
228,log_153_1708942616.xes,drift_2,sudden,change_info_1,"[119, 119, 119, 119]",sudden,[2855]
229,log_154_1708942619.xes,drift_1,gradual,change_info_1,"[52, 52, 65, 65]",gradual,"[1746, 2210]"
230,log_154_1708942619.xes,drift_2,sudden,change_info_1,"[123, 123, 123, 123]",sudden,[4178]
231,log_154_1708942619.xes,drift_3,sudden,change_info_1,"[172, 172, 172, 172]",sudden,[5819]
232,log_155_1708942622.xes,drift_1,sudden,change_info_1,"[89, 89, 89, 89]",sudden,[1333]
233,log_157_1708942624.xes,drift_1,sudden,change_info_1,"[48, 48, 48, 48]",sudden,[1869]
234,log_157_1708942624.xes,drift_2,sudden,change_info_1,"[96, 96, 96, 96]",sudden,[3706]
235,log_157_1708942624.xes,drift_3,gradual,change_info_1,"[144, 144, 154, 154]",gradual,"[5584, 6001]"
236,log_160_1708942629.xes,drift_1,sudden,change_info_1,"[38, 38, 38, 38]",sudden,[1037]
237,log_160_1708942629.xes,drift_2,gradual,change_info_1,"[84, 84, 105, 105]",gradual,"[2344, 2928]"
238,log_160_1708942629.xes,drift_3,gradual,change_info_1,"[146, 146, 157, 157]",gradual,"[4085, 4395]"
239,log_161_1708942631.xes,drift_1,gradual,change_info_1,"[101, 101, 125, 125]",gradual,"[1811, 2233]"
240,log_162_1708942632.xes,drift_1,sudden,change_info_1,"[47, 47, 47, 47]",sudden,[1583]
241,log_162_1708942632.xes,drift_2,gradual,change_info_1,"[83, 83, 98, 98]",gradual,"[2808, 3332]"
242,log_162_1708942632.xes,drift_3,sudden,change_info_1,"[151, 151, 151, 151]",sudden,[5124]
243,log_163_1708942638.xes,drift_1,gradual,change_info_1,"[63, 63, 94, 94]",gradual,"[1065, 1594]"
244,log_165_1708942642.xes,drift_1,gradual,change_info_1,"[52, 52, 68, 68]",gradual,"[1191, 1562]"
245,log_165_1708942642.xes,drift_2,gradual,change_info_1,"[140, 140, 163, 163]",gradual,"[3214, 3746]"
246,log_166_1708942645.xes,drift_1,gradual,change_info_1,"[48, 48, 62, 62]",gradual,"[1228, 1595]"
247,log_166_1708942645.xes,drift_2,sudden,change_info_1,"[130, 130, 130, 130]",sudden,[3364]
248,log_168_1708942647.xes,drift_1,sudden,change_info_1,"[57, 57, 57, 57]",sudden,[1640]
249,log_168_1708942647.xes,drift_2,gradual,change_info_1,"[115, 115, 134, 134]",gradual,"[3330, 3884]"
250,log_169_1708942448.xes,drift_1,gradual,change_info_1,"[43, 43, 60, 60]",gradual,"[1433, 2029]"
251,log_169_1708942448.xes,drift_2,gradual,change_info_1,"[113, 113, 130, 130]",gradual,"[3812, 4394]"
