,Detected Changepoints,Actual Changepoints,Predicted Drift Types,Actual Drift Types,F1-Score,Precision,Recall,Average Lag,y_pred_sorted,y_true_sorted,n_traces
log_1079_1708942969.xes,[],"[(1154, 1515), (2815, 3173)]",[],"['gradual', 'gradual']",,,,,"[nan, nan]","['gradual', 'gradual']",5048
log_107_1708942849.xes,[],"[(1063, 1063), (2110, 2597), (3743, 3743)]",[],"['sudden', 'gradual', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'sudden']",5599
log_1080_1708942973.xes,"[(4317, 4317)]","[(1891, 2208), (4181, 4181)]",['sudden'],"['gradual', 'sudden']",0.6666666666666666,1.0,0.5,272.0,"['sudden', nan]","['sudden', 'gradual']",5329
log_1081_1708942983.xes,[],"[(1865, 1865)]",[],['sudden'],,,,,[nan],['sudden'],3691
log_1082_1708942988.xes,[],"[(1750, 1750), (2896, 3478), (4871, 5194)]",[],"['sudden', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'gradual']",6601
log_1083_1708942995.xes,"[(1696, 1696), (3421, 3421)]","[(1408, 1957), (3317, 3317), (5036, 5036)]","['sudden', 'sudden']","['gradual', 'sudden', 'sudden']",0.4,0.5,0.3333333333333333,208.0,"['sudden', nan, nan, 'sudden']","['sudden', 'gradual', 'sudden', nan]",6280
log_1084_1708943001.xes,[],[],[],[],,,,,[],[],4492
log_1085_1708943004.xes,"[(3246, 3246)]","[(1255, 1844), (3102, 3102)]",['sudden'],"['gradual', 'sudden']",0.6666666666666666,1.0,0.5,288.0,"['sudden', nan]","['sudden', 'gradual']",4829
log_1086_1708943011.xes,[],"[(1871, 2380)]",[],['gradual'],,,,,[nan],['gradual'],4002
log_1087_1708943018.xes,"[(2702, 2702)]",[],['sudden'],[],,,,,['sudden'],[nan],5748
log_1088_1708943022.xes,"[(2187, 2187)]","[(1851, 1851), (2990, 3568)]",['sudden'],"['sudden', 'gradual']",0.6666666666666666,1.0,0.5,672.0,"['sudden', nan]","['sudden', 'gradual']",4779
log_1089_1708943029.xes,"[(1698, 1698)]","[(1741, 1741), (2843, 3359), (5102, 5102)]",['sudden'],"['sudden', 'gradual', 'sudden']",0.5,1.0,0.3333333333333333,86.0,"['sudden', nan, nan]","['sudden', 'gradual', 'sudden']",6446
log_108_1708942855.xes,"[(1341, 1341), (3251, 3251)]","[(1159, 1549), (3229, 3229)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,44.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",4905
log_1090_1708943038.xes,"[(1970, 1970), (3545, 3545)]","[(1690, 2206), (3516, 3516)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,58.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",4791
log_1091_1708943045.xes,[],"[(1737, 2245)]",[],['gradual'],,,,,[nan],['gradual'],3938
log_1092_1708943050.xes,"[(1540, 1540)]","[(1490, 1490)]",['sudden'],['sudden'],1.0,1.0,1.0,100.0,['sudden'],['sudden'],3394
log_1093_1708943051.xes,"[(1341, 1341), (3403, 3403)]","[(1109, 1610), (3383, 3772), (5669, 5669)]","['sudden', 'sudden']","['gradual', 'gradual', 'sudden']",,,,,"[nan, nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', nan, nan]",6978
log_1094_1708943053.xes,"[(3892, 3892)]","[(1777, 2078), (3797, 3797)]",['sudden'],"['gradual', 'sudden']",0.6666666666666666,1.0,0.5,190.0,"['sudden', nan]","['sudden', 'gradual']",5001
log_1095_1708943057.xes,"[(1943, 1943), (4206, 4206), (6073, 6073)]","[(1857, 2326), (4176, 4176), (6044, 6044)]","['sudden', 'sudden', 'sudden']","['gradual', 'sudden', 'sudden']",0.6666666666666666,0.6666666666666666,0.6666666666666666,59.0,"['sudden', 'sudden', nan, 'sudden']","['sudden', 'sudden', 'gradual', nan]",7172
log_1096_1708943060.xes,[],"[(1636, 2100)]",[],['gradual'],,,,,[nan],['gradual'],3668
log_1097_1708943062.xes,"[(1729, 1729), (3217, 3217)]","[(1425, 1939), (3084, 3662)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",4943
log_1098_1708943068.xes,"[(1489, 1489)]","[(1500, 1500)]",['sudden'],['sudden'],1.0,1.0,1.0,22.0,['sudden'],['sudden'],3421
log_1099_1708943070.xes,"[(1518, 1518)]","[(1312, 1872)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3662
log_109_1708942861.xes,"[(1958, 1958), (3765, 3765)]","[(1938, 1938), (3761, 4290)]","['sudden', 'sudden']","['sudden', 'gradual']",0.5,0.5,0.5,40.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5919
log_10_1708942765.xes,"[(1958, 1958)]","[(1659, 2151)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3360
log_1100_1708943077.xes,"[(1329, 1329)]","[(1223, 1223)]",['sudden'],['sudden'],1.0,1.0,1.0,212.0,['sudden'],['sudden'],2235
log_1101_1708943078.xes,"[(1864, 1864), (3081, 3081)]","[(1832, 1832), (3044, 3579)]","['sudden', 'sudden']","['sudden', 'gradual']",0.5,0.5,0.5,64.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",4607
log_1102_1708943080.xes,"[(2321, 2321)]","[(1947, 2434), (3564, 3564)]",['sudden'],"['gradual', 'sudden']",,,,,"[nan, nan, 'sudden']","['gradual', 'sudden', nan]",4600
log_1103_1708942893.xes,"[(1243, 1243)]","[(1097, 1097)]",['sudden'],['sudden'],1.0,1.0,1.0,292.0,['sudden'],['sudden'],2953
log_1104_1708942895.xes,[],"[(1933, 1933), (3406, 3406), (4971, 4971)]",[],"['sudden', 'sudden', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'sudden', 'sudden']",6950
log_1105_1708942902.xes,[],[],[],[],,,,,[],[],5442
log_1106_1708942905.xes,"[(1682, 1682), (3325, 3325)]","[(1377, 1748), (3234, 3785)]","['sudden', 'sudden']","['gradual', 'gradual']",,,,,"[nan, nan, 'sudden', 'sudden']","['gradual', 'gradual', nan, nan]",5654
log_1107_1708942912.xes,"[(1966, 1966), (3788, 3788)]","[(1836, 1836), (3777, 3777)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,141.0,"['sudden', 'sudden']","['sudden', 'sudden']",5356
log_1108_1708942920.xes,"[(1439, 1439)]","[(1367, 1367)]",['sudden'],['sudden'],1.0,1.0,1.0,144.0,['sudden'],['sudden'],3124
log_1109_1708942923.xes,"[(1662, 1662), (3500, 3500), (5068, 5068)]","[(1630, 1630), (3466, 3466), (5028, 5028)]","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",1.0,1.0,1.0,70.66666666666667,"['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",6735
log_110_1708942867.xes,"[(1756, 1756), (3799, 3799), (5603, 5603)]","[(1725, 2050), (3816, 3816), (5601, 6023)]","['sudden', 'sudden', 'sudden']","['gradual', 'sudden', 'gradual']",0.3333333333333333,0.3333333333333333,0.3333333333333333,34.0,"['sudden', nan, nan, 'sudden', 'sudden']","['sudden', 'gradual', 'gradual', nan, nan]",7064
log_1110_1708942930.xes,"[(2116, 2116), (4038, 4038), (5710, 5710)]","[(1849, 2248), (3900, 4362), (5512, 6065)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan, 'sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'gradual', nan, nan, nan]",7693
log_1111_1708942936.xes,"[(2011, 2011)]","[(1601, 1601), (2671, 2996)]",['sudden'],"['sudden', 'gradual']",0.6666666666666666,1.0,0.5,820.0,"['sudden', nan]","['sudden', 'gradual']",4931
log_1112_1708942954.xes,"[(1654, 1654)]","[(1550, 1550)]",['sudden'],['sudden'],1.0,1.0,1.0,208.0,['sudden'],['sudden'],3421
log_1113_1708942959.xes,[],[],[],[],,,,,[],[],7212
log_1114_1708942963.xes,[],[],[],[],,,,,[],[],2600
log_1115_1708942965.xes,"[(1756, 1756)]","[(1410, 1754)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3314
log_1116_1708942966.xes,"[(1862, 1862), (3349, 3349)]","[(1477, 1827), (3256, 3256)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,186.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",4563
log_1117_1708942971.xes,[],[],[],[],,,,,[],[],4196
log_1118_1708942975.xes,"[(2570, 2570)]","[(1904, 2465)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",4334
log_1119_1708942980.xes,"[(1043, 1043), (2113, 2113)]","[(1017, 1017), (2064, 2064)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,75.0,"['sudden', 'sudden']","['sudden', 'sudden']",3337
log_111_1708942873.xes,[],"[(1678, 1678), (2901, 2901)]",[],"['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']",3920
log_1120_1708942985.xes,"[(1858, 1858), (3642, 3642)]","[(1647, 2090), (3560, 3560)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,164.0,"['sudden', nan, 'sudden']","['sudden', 'gradual', nan]",5244
log_1121_1708942987.xes,[],[],[],[],,,,,[],[],4113
log_1122_1708942992.xes,"[(1332, 1332)]","[(1338, 1338)]",['sudden'],['sudden'],1.0,1.0,1.0,12.0,['sudden'],['sudden'],2826
log_1123_1708942997.xes,"[(2000, 2000)]","[(1781, 2109)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3735
log_1124_1708942999.xes,"[(1962, 1962)]","[(1960, 1960), (3018, 3323)]",['sudden'],"['sudden', 'gradual']",0.6666666666666666,1.0,0.5,4.0,"['sudden', nan]","['sudden', 'gradual']",4599
log_1125_1708943005.xes,[],[],[],[],,,,,[],[],2722
log_1126_1708943006.xes,[],[],[],[],,,,,[],[],3408
log_1127_1708943009.xes,[],[],[],[],,,,,[],[],4608
log_1128_1708943011.xes,"[(1411, 1411)]","[(1332, 1332)]",['sudden'],['sudden'],1.0,1.0,1.0,158.0,['sudden'],['sudden'],2889
log_1129_1708943014.xes,[],[],[],[],,,,,[],[],5967
log_112_1708942876.xes,[],"[(1709, 2009), (3390, 3975), (5276, 5829)]",[],"['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']",7736
log_1130_1708943017.xes,"[(1959, 1959), (3568, 3568), (5461, 5461)]","[(1757, 2088), (3524, 3979), (5412, 5412)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden']",0.3333333333333333,0.3333333333333333,0.3333333333333333,98.0,"['sudden', nan, nan, 'sudden', 'sudden']","['sudden', 'gradual', 'gradual', nan, nan]",6498
log_1131_1708943022.xes,"[(2053, 2053)]","[(1620, 2070)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3814
log_1132_1708943029.xes,"[(2247, 2247)]","[(1969, 2369)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3881
log_1133_1708943033.xes,"[(1599, 1599)]","[(1333, 1932)]",['sudden'],['gradual'],,,,,"[nan, 'sudden']","['gradual', nan]",3437
log_1134_1708943035.xes,"[(1712, 2871), (4437, 4437)]","[(1213, 1213), (3090, 3090), (4249, 4249)]","['gradual', 'sudden']","['sudden', 'sudden', 'sudden']",0.4,0.5,0.3333333333333333,376.0,"['sudden', nan, nan, 'gradual']","['sudden', 'sudden', 'sudden', nan]",5789
log_1135_1708943042.xes,"[(1087, 1087)]","[(1032, 1032)]",['sudden'],['sudden'],1.0,1.0,1.0,110.0,['sudden'],['sudden'],2363
log_1136_1708943043.xes,"[(1958, 1958)]","[(1951, 1951), (3126, 3126), (4438, 4438)]",['sudden'],"['sudden', 'sudden', 'sudden']",0.5,1.0,0.3333333333333333,14.0,"['sudden', nan, nan]","['sudden', 'sudden', 'sudden']",6398
