Change_type,Noise_level,Log_size,Change_pattern,Dataset,Scope
Atomic,na,na,Loop,Ostovar,yes
Atomic,na,na,Loop,Ostovar,yes
Atomic,na,na,ParallelMove,Ostovar,yes
Atomic,na,na,ParallelMove,Ostovar,yes
Atomic,na,na,ParallelMove,Ostovar,yes
Atomic,na,na,ParallelRemoval,Ostovar,yes
Atomic,na,na,ParallelRemoval,Ostovar,yes
Atomic,na,na,ParallelRemoval,Ostovar,yes
Atomic,na,na,ParallelToSequence,Ostovar,yes
Atomic,na,na,ParallelToSequence,Ostovar,yes
Atomic,na,na,ParallelToSequence,Ostovar,yes
Atomic,na,na,SerialMove,Ostovar,yes
Atomic,na,na,SerialMove,Ostovar,yes
Atomic,na,na,SerialMove,Ostovar,yes
Atomic,na,na,SerialRemoval,Ostovar,yes
Atomic,na,na,SerialRemoval,Ostovar,yes
Atomic,na,na,SerialRemoval,Ostovar,yes
Atomic,na,na,Skip,Ostovar,yes
Atomic,na,na,Skip,Ostovar,yes
Atomic,na,na,Skip,Ostovar,yes
Atomic,na,na,Substitute,Ostovar,yes
Atomic,na,na,Substitute,Ostovar,yes
Atomic,na,na,Substitute,Ostovar,yes
Atomic,na,na,Swap,Ostovar,yes
Atomic,na,na,Swap,Ostovar,yes
Atomic,na,na,Swap,Ostovar,yes
